month,day,sched_dep_time,origin,distance,arr_delay
1,21,1005,JFK,1778.2,11.8
7,26,1857,JFK,1975.7,33.4
7,14,2291,JFK,2798.6,12.1
8,13,1292,JFK,1342.2,-1.2
5,27,1827,JFK,1061.0,-14.8
3,4,1332,LGA,2934.0,30.1
12,7,1960,JFK,2604.0,23.0
8,22,1846,EWR,1036.8,25.7
6,10,2025,JFK,1445.0,23.9
11,7,1357,LGA,1303.7,22.9
3,21,1916,JFK,532.4,55.5
1,15,1305,EWR,2877.7,-4.8
3,15,2122,EWR,1272.5,4.3
5,4,1672,LGA,2638.5,16.2
3,23,1260,LGA,649.1,7.9
1,23,1332,LGA,1688.8,-17.7
5,6,1928,LGA,169.5,61.0
10,24,782,JFK,2316.2,32.7
7,20,1885,JFK,1784.7,34.0
7,26,878,EWR,1914.2,1.4
11,5,697,LGA,250.0,9.9
9,20,1514,LGA,712.0,20.4
10,12,1523,JFK,315.6,-28.0
10,1,1055,LGA,937.9,-16.7
12,28,855,EWR,1919.6,0.6
3,8,2063,EWR,1741.9,7.4
7,1,1952,LGA,1875.2,39.6
1,5,1540,EWR,1692.8,-9.3
4,31,1138,EWR,891.8,29.6
4,22,878,JFK,809.1,-5.4
5,6,1179,EWR,497.5,10.1
7,29,1005,LGA,2562.3,0.6
7,21,2279,LGA,1887.8,-17.1
11,3,1398,EWR,640.9,2.7
4,15,575,LGA,613.9,17.4
7,5,730,JFK,2631.8,51.2
11,28,2239,EWR,2253.9,-18.7
3,24,1461,EWR,2012.3,5.0
6,14,1771,EWR,1279.9,47.8
12,18,801,LGA,859.7,29.7
2,16,1225,LGA,2940.4,39.8
10,6,714,EWR,2412.0,28.9
9,25,1681,LGA,975.2,45.3
5,24,568,LGA,2557.9,14.3
6,14,892,EWR,2300.9,24.3
12,27,1608,EWR,961.5,40.3
12,24,766,LGA,1337.0,13.8
12,8,1592,EWR,639.3,12.7
12,31,1110,EWR,422.1,33.3
4,29,1870,EWR,2196.0,12.7
11,7,1508,EWR,875.8,-25.4
10,8,1461,LGA,2478.2,-8.9
7,13,1227,EWR,2987.3,5.4
12,6,1172,JFK,322.2,9.1
9,18,922,EWR,1471.8,-2.9
7,2,2129,JFK,2426.0,46.6
1,8,1697,EWR,2388.0,32.6
1,11,2200,JFK,2304.0,40.4
9,1,614,JFK,1112.1,3.0
11,22,719,EWR,1416.2,32.2
9,29,530,EWR,1825.4,41.8
4,6,2046,EWR,2924.4,22.7
9,16,1866,JFK,1049.9,-11.3
3,27,1900,LGA,2777.1,74.4
7,20,1653,LGA,881.1,67.9
6,12,1116,EWR,2968.3,27.1
8,11,1038,LGA,2043.8,27.8
11,29,1238,LGA,1444.2,-6.1
9,31,1525,EWR,1878.8,-19.1
5,27,1370,JFK,890.3,-4.6
1,29,600,EWR,895.1,27.7
3,10,2056,LGA,429.3,37.0
10,3,1581,JFK,430.7,-15.0
12,13,1912,LGA,1108.2,3.1
8,27,1191,JFK,2312.3,33.7
11,3,1440,LGA,1863.1,-34.8
6,31,840,EWR,397.5,-11.4
8,15,1360,LGA,2571.5,-12.7
9,16,1543,LGA,1844.0,1.8
4,29,1778,JFK,2886.5,-3.4
1,13,1840,LGA,2043.5,27.5
1,17,537,EWR,608.0,-9.8
10,3,1159,EWR,1474.0,40.7
4,20,2060,EWR,1980.6,-13.3
12,11,1909,JFK,182.0,19.5
7,27,2156,JFK,143.2,22.9
2,21,1427,LGA,475.3,5.8
3,19,1549,LGA,829.8,-21.5
1,22,953,LGA,1345.7,15.4
5,11,2204,JFK,1513.6,7.5
1,30,1846,JFK,500.3,47.4
8,31,1236,LGA,2052.8,-5.7
1,28,2036,JFK,1828.8,70.0
11,16,1318,JFK,953.9,-19.4
1,21,1272,EWR,139.6,-11.8
2,3,512,EWR,325.2,45.8
2,22,1414,LGA,1235.9,62.9
12,6,2083,LGA,546.5,40.0
6,31,1420,EWR,1192.8,10.7
7,14,1324,JFK,1921.7,40.6
5,24,870,LGA,1687.0,26.1
1,18,1814,LGA,770.4,35.7
1,17,831,LGA,1097.1,-18.9
3,4,2129,JFK,1880.7,14.5
2,23,760,EWR,2596.5,11.7
5,15,2313,LGA,2284.3,6.0
12,11,2394,EWR,1704.9,-25.0
10,26,1728,EWR,1150.6,26.2
6,3,1196,JFK,1158.6,62.6
7,3,1186,JFK,2650.3,21.7
4,16,1449,JFK,213.8,-9.3
7,5,886,JFK,2965.1,41.9
11,21,1320,JFK,2026.7,24.9
8,29,967,JFK,2075.3,24.2
11,10,1938,LGA,210.2,2.6
1,19,568,EWR,1856.0,8.1
6,25,1995,JFK,1505.9,-10.3
8,4,1627,LGA,406.8,40.4
5,29,2281,EWR,906.0,43.4
4,29,1684,JFK,2681.9,18.9
2,31,699,JFK,1695.0,-11.0
6,19,715,LGA,1298.9,38.6
6,11,711,EWR,310.8,16.5
11,2,1007,JFK,2171.0,29.9
1,10,515,EWR,2138.3,11.3
9,29,2021,LGA,1880.7,24.5
12,11,1383,JFK,1579.8,28.2
11,25,831,EWR,1358.0,39.6
6,20,1216,LGA,1820.5,24.8
3,16,1050,LGA,776.8,-45.0
4,19,2124,JFK,2829.7,12.4
12,23,1441,EWR,1807.5,23.7
11,24,755,JFK,1002.5,-14.9
4,11,1491,JFK,1404.1,25.4
3,14,2289,EWR,2436.5,34.2
10,2,1227,EWR,568.7,-25.4
3,23,1379,EWR,949.2,49.7
3,28,1314,LGA,2070.6,25.0
4,5,1695,LGA,1014.9,-19.1
7,31,1148,EWR,2398.3,43.4
4,27,1499,LGA,478.3,26.4
9,5,2021,JFK,2311.8,41.5
1,19,970,EWR,298.2,0.6
8,21,1907,JFK,136.5,62.0
7,12,1189,EWR,2704.8,21.9
2,18,2112,JFK,1785.9,12.3
8,4,1199,EWR,1120.3,-9.0
1,22,1006,JFK,774.5,-28.0
11,17,1491,EWR,1889.0,35.4
12,10,1509,EWR,1576.1,-6.0
9,20,2050,LGA,2975.6,-49.2
9,6,1303,JFK,2951.3,29.3
2,25,1330,LGA,1941.6,32.1
7,14,1848,JFK,1384.3,18.2
10,11,713,LGA,1524.3,5.0
3,11,1731,EWR,2079.2,46.3
7,29,668,LGA,394.6,-37.7
12,18,1853,LGA,1052.2,18.3
10,27,1803,EWR,318.3,21.6
9,23,1477,LGA,312.7,-11.3
4,22,1828,EWR,667.9,-28.0
12,18,645,JFK,1507.2,-13.7
1,24,2298,LGA,2375.8,-18.8
2,23,1015,EWR,1507.9,1.4
1,11,1613,EWR,1072.9,34.8
12,21,952,LGA,338.8,45.5
5,12,559,JFK,1695.9,33.5
5,5,1834,LGA,886.7,37.5
11,23,1027,EWR,1883.3,-18.4
7,9,1750,JFK,2933.8,-16.1
9,27,1523,LGA,422.8,32.6
9,31,973,EWR,715.2,-0.4
3,25,2064,LGA,1472.0,24.3
3,9,2186,JFK,2909.0,17.7
3,22,1256,JFK,2338.2,36.8
4,10,1281,JFK,2704.9,21.3
8,22,1602,JFK,1067.8,28.5
6,19,932,JFK,2976.9,25.8
8,1,2324,LGA,398.2,46.2
1,7,1676,JFK,253.6,20.6
8,4,2312,JFK,2581.2,55.8
4,1,900,EWR,2789.1,-2.5
11,15,1802,JFK,362.7,40.0
1,8,556,EWR,428.9,21.1
8,12,1502,EWR,196.2,-25.7
4,22,685,EWR,403.1,39.9
6,22,897,LGA,707.3,15.1
8,18,1104,LGA,2913.2,96.8
4,15,1287,EWR,2036.8,50.1
3,17,657,LGA,2357.8,5.2
9,29,2310,JFK,2350.8,36.6
3,14,2216,LGA,1651.7,26.3
9,14,1882,JFK,2412.7,36.9
2,18,1963,JFK,1827.8,6.8
2,20,1088,LGA,1012.2,-24.3
2,18,965,LGA,1727.2,10.8
6,16,2186,EWR,1647.2,-2.2
3,1,945,LGA,2488.0,8.9
9,23,2273,LGA,2947.0,39.0
4,27,1300,LGA,1292.0,27.9
1,11,2266,JFK,2313.8,1.3
4,15,2011,JFK,389.3,43.3
1,12,2053,JFK,2352.8,-3.9
5,8,1596,EWR,1177.1,-4.7
4,22,1428,EWR,214.2,9.9
8,20,2224,EWR,1153.4,-6.6
8,30,516,JFK,1870.9,2.5
7,6,2054,LGA,445.8,45.6
3,3,1230,EWR,2779.7,15.7
1,28,825,EWR,325.2,-9.9
1,24,1494,JFK,2797.0,-24.3
12,26,2155,EWR,2150.7,-0.2
11,30,1112,LGA,1056.2,46.5
3,13,1045,JFK,1233.2,18.5
6,13,1095,JFK,2248.3,59.5
7,2,1420,LGA,1844.3,22.6
6,5,2231,LGA,2047.8,29.1
6,17,1341,LGA,1228.6,42.8
6,6,1725,EWR,1514.7,56.8
3,2,843,LGA,2970.6,-0.0
6,4,2376,JFK,720.4,-7.8
8,22,2046,LGA,1311.8,-14.1
11,26,1358,JFK,946.3,-15.2
11,11,1923,JFK,2318.8,28.7
2,8,1741,EWR,2315.6,32.8
5,12,944,LGA,948.1,23.9
1,8,2288,EWR,336.0,34.1
12,11,721,LGA,133.2,7.0
1,22,1906,LGA,1339.6,8.1
5,20,1091,LGA,1290.0,14.7
12,8,1530,LGA,2966.3,-11.6
3,29,1795,LGA,1462.4,13.3
4,8,2262,JFK,843.6,-11.4
3,26,1517,JFK,2684.6,-6.9
1,30,515,LGA,1524.1,31.4
1,17,1947,JFK,1837.6,41.7
12,20,1023,EWR,377.4,36.0
12,20,1302,EWR,1210.5,10.8
5,23,2276,EWR,2838.2,14.1
6,16,520,LGA,1809.6,2.6
3,14,2213,LGA,1099.1,-16.0
12,30,727,JFK,1914.4,-5.5
9,11,1507,JFK,2740.2,39.2
5,7,2308,JFK,894.6,-40.0
8,16,1811,EWR,1564.8,8.8
1,13,1308,EWR,2880.2,34.5
5,27,1657,EWR,599.9,49.3
3,15,1806,EWR,2187.0,46.5
12,24,903,JFK,1882.0,-9.2
1,16,2188,LGA,2071.1,18.5
4,27,1589,LGA,1118.5,4.8
5,21,2172,EWR,1010.3,-9.4
7,23,2127,LGA,2084.2,50.4
1,24,936,LGA,725.1,5.5
3,31,1328,LGA,1317.0,11.8
2,9,1433,EWR,645.7,-18.2
9,3,758,JFK,124.1,22.1
10,19,602,JFK,2913.2,31.6
6,20,1492,LGA,1351.9,25.3
10,5,2090,JFK,2911.1,6.0
3,10,1268,JFK,506.9,17.4
8,17,1624,EWR,1803.4,3.4
8,15,1721,EWR,682.8,28.3
2,31,1312,LGA,2391.2,-15.2
6,23,725,LGA,2372.7,5.9
7,25,1442,LGA,426.6,-11.1
2,8,962,EWR,2745.0,-20.0
11,15,736,JFK,664.4,1.3
10,31,1549,EWR,1877.6,21.4
2,21,1644,EWR,2958.3,38.6
10,30,1005,JFK,2658.9,-51.6
1,14,1705,JFK,2874.0,64.7
8,20,2234,LGA,1093.5,20.7
1,28,1313,JFK,406.2,0.6
9,7,1266,JFK,646.2,-4.2
11,21,1133,JFK,1551.4,7.6
6,23,2066,JFK,2400.4,12.4
7,12,1838,LGA,535.4,52.0
10,17,1490,LGA,2013.2,21.1
7,17,2320,JFK,1038.4,-27.8
10,10,1117,JFK,1089.5,-3.5
3,30,2259,LGA,2019.6,9.8
2,29,772,LGA,1454.3,34.7
9,19,731,JFK,2454.9,9.4
8,14,1943,EWR,552.2,34.7
12,11,1267,LGA,2390.8,20.8
10,2,1965,LGA,286.3,34.4
7,18,995,LGA,662.8,5.6
9,7,1547,JFK,2002.8,-24.4
4,12,1632,JFK,2579.3,-23.0
4,26,2226,LGA,832.8,-7.8
1,2,1001,JFK,1048.9,15.4
8,27,2382,JFK,1657.7,23.9
12,20,524,LGA,713.6,11.4
3,18,1710,JFK,2452.4,17.5
7,6,787,EWR,2343.5,-0.1
12,24,2151,JFK,521.3,-14.0
2,10,837,JFK,1445.1,22.5
2,20,1560,LGA,2347.0,17.7
7,15,2317,LGA,1078.3,-15.7
6,5,636,EWR,1936.0,37.4
3,20,1007,JFK,245.6,-5.6
9,3,726,EWR,1865.2,7.2
10,5,819,EWR,542.7,4.5
6,30,2363,LGA,2508.7,-7.6
10,25,1415,JFK,1130.8,2.1
10,8,1705,LGA,916.5,-3.3
6,8,2397,EWR,2538.6,-35.7
1,8,585,EWR,245.4,43.0
4,12,1990,LGA,1250.2,31.6
10,24,1425,LGA,1173.0,-1.0
6,23,552,LGA,925.9,7.2
6,8,1359,LGA,2744.1,-14.3
11,11,1366,LGA,2277.7,-39.8
12,14,1758,EWR,285.4,-6.4
5,8,2302,LGA,2172.6,17.4
1,29,2322,JFK,1629.2,34.2
8,30,932,EWR,2712.5,12.1
5,24,2019,EWR,1007.5,45.4
12,28,1498,JFK,1765.1,15.2
12,10,599,JFK,1552.2,-10.0
12,7,1489,EWR,1519.7,12.8
5,28,1098,LGA,1422.7,14.0
7,17,902,EWR,696.3,5.2
4,4,895,EWR,2291.6,-30.3
6,29,2050,JFK,1408.9,63.8
4,13,914,EWR,2879.7,14.3
3,4,1438,LGA,856.3,-54.0
7,5,2136,JFK,2080.0,54.0
8,26,1176,EWR,2828.1,-15.5
4,22,962,EWR,2024.0,72.1
2,4,1040,LGA,2626.7,13.2
12,31,2149,EWR,2499.7,20.3
10,18,2142,EWR,1144.3,16.2
3,6,1887,EWR,1840.4,3.8
1,31,1653,EWR,553.2,14.0
8,24,583,LGA,1653.0,50.3
3,31,770,EWR,768.2,-10.8
12,24,743,EWR,2256.8,21.8
10,23,887,EWR,1631.4,-2.7
7,22,713,JFK,1292.6,16.3
10,2,1317,LGA,879.5,51.7
5,31,1689,JFK,2996.2,46.7
10,23,2314,JFK,308.0,24.7
5,11,558,LGA,226.3,-4.3
7,28,2125,JFK,730.0,60.8
9,14,1382,JFK,2916.1,-7.7
12,30,1342,JFK,2939.8,-0.7
5,5,1423,LGA,1999.3,23.9
1,6,2027,EWR,2652.3,9.6
10,10,2229,LGA,720.5,-5.1
10,8,622,LGA,2918.9,60.2
1,14,2171,LGA,514.1,10.2
2,24,1936,JFK,393.3,56.8
6,3,1662,EWR,425.4,22.1
9,12,1752,LGA,1762.1,-3.9
8,16,1797,LGA,2364.8,-17.4
5,28,938,EWR,1163.3,7.3
1,30,1521,EWR,2935.9,-9.3
7,23,1061,EWR,1359.8,46.0
5,17,617,JFK,536.3,41.3
6,1,2237,EWR,1451.3,5.9
7,23,1404,JFK,2069.2,29.7
3,31,2006,LGA,2513.5,30.3
12,31,894,JFK,1430.4,17.8
10,10,2226,EWR,1821.5,18.2
3,25,1375,JFK,875.3,7.7
5,23,1983,EWR,1973.2,-22.3
6,10,2358,JFK,2959.3,53.4
9,21,2216,LGA,242.3,4.6
12,24,1434,JFK,2670.9,-26.2
5,2,1601,LGA,1730.6,23.3
1,9,1451,EWR,831.1,6.9
4,22,1935,LGA,2869.2,14.2
5,13,574,EWR,1501.7,1.8
12,25,794,EWR,1061.9,11.0
10,16,2316,LGA,626.3,-11.8
10,18,520,LGA,808.9,17.2
5,19,1694,JFK,2515.3,36.5
7,12,1538,JFK,1881.8,56.6
4,8,1734,LGA,2748.4,73.3
1,17,1059,LGA,772.7,8.6
5,15,1609,LGA,451.3,6.0
7,10,1672,LGA,117.7,64.3
10,15,2223,EWR,1572.8,37.1
10,15,871,LGA,2995.1,4.9
6,31,2003,LGA,2115.4,13.2
5,23,1317,LGA,994.3,8.7
4,7,1674,LGA,2642.9,21.6
2,13,1664,EWR,2367.0,13.5
4,17,1592,JFK,144.7,-11.7
10,9,1783,JFK,2468.9,28.0
10,8,1345,JFK,971.5,58.1
3,20,1020,JFK,534.1,-7.8
10,26,2156,JFK,756.4,3.9
1,27,870,EWR,1458.9,-6.5
8,21,1942,JFK,1332.1,54.8
5,18,600,EWR,937.8,30.0
4,13,1160,EWR,599.4,-29.8
8,16,2181,JFK,2310.5,-24.7
7,9,2388,JFK,2971.3,49.1
2,31,1467,JFK,2355.6,-9.5
1,12,742,LGA,958.2,18.5
12,12,1252,EWR,809.9,-6.4
11,6,1011,JFK,731.2,28.8
4,19,1348,LGA,496.4,15.3
8,28,1054,EWR,1698.9,-6.5
12,7,1618,LGA,1855.7,11.0
2,25,725,LGA,2146.0,15.3
3,3,2041,JFK,2072.6,28.7
12,16,713,EWR,947.8,40.6
1,18,1217,LGA,1057.9,-30.1
1,16,566,EWR,2076.4,6.1
3,23,895,JFK,1113.4,5.9
11,7,1111,EWR,716.6,1.1
5,4,1535,LGA,1185.6,-11.1
12,27,1760,LGA,889.0,5.3
3,25,2357,EWR,356.1,-48.2
1,30,1269,LGA,2507.4,-18.5
1,8,1922,LGA,2574.0,6.0
8,13,906,LGA,737.3,24.8
10,13,1424,JFK,287.8,26.0
11,17,2372,JFK,2242.6,-3.6
12,17,2003,LGA,713.4,39.9
12,5,1146,EWR,1241.0,-17.1
2,6,721,JFK,286.0,-18.3
3,19,1679,EWR,756.2,-15.9
2,13,1153,LGA,2399.4,27.9
3,25,927,LGA,2432.7,17.6
7,28,1681,EWR,700.5,57.6
1,26,1476,JFK,1074.2,19.6
10,14,1939,EWR,489.3,17.7
8,31,1505,EWR,315.1,24.2
10,22,1849,LGA,2977.3,78.0
10,4,870,JFK,2001.2,9.1
10,28,1867,EWR,1672.1,62.0
2,7,1785,JFK,2319.9,53.7
3,8,1806,LGA,2536.2,28.4
9,25,1349,JFK,2439.5,11.6
7,13,1355,LGA,148.0,-36.0
4,27,728,JFK,641.7,12.9
10,6,779,EWR,1999.2,-1.4
5,31,2393,LGA,1189.7,31.8
2,6,1813,EWR,2949.2,20.5
11,24,2203,LGA,2029.7,-1.3
8,28,1570,JFK,2874.0,9.9
4,21,1474,JFK,684.2,-12.7
9,30,2238,LGA,2605.5,-20.1
5,3,1737,LGA,1031.9,3.6
9,28,1257,LGA,2969.7,-29.0
4,3,1547,JFK,557.3,26.2
10,13,820,LGA,1597.4,-16.8
5,22,773,LGA,2399.2,47.5
9,2,1055,EWR,1354.7,10.4
8,16,1343,LGA,1457.4,-26.3
3,22,1836,EWR,2960.4,16.9
1,29,1886,EWR,1333.4,33.6
3,6,1167,EWR,1851.8,9.7
4,8,1499,JFK,258.2,6.1
2,23,879,EWR,2542.4,10.7
1,8,1210,LGA,1979.7,28.1
7,30,2197,JFK,1271.7,24.7
8,25,1993,JFK,146.9,31.3
7,6,1245,JFK,1815.8,22.2
5,14,1174,JFK,136.7,-5.4
12,3,615,JFK,103.5,24.2
1,10,1104,JFK,1886.7,67.9
7,3,1565,JFK,648.1,19.0
7,27,2319,EWR,656.5,18.1
9,12,878,LGA,1994.5,40.2
3,17,2245,LGA,255.7,21.4
9,27,1729,EWR,1008.9,36.1
1,31,965,EWR,533.4,-14.3
1,29,2255,JFK,1782.5,41.9
4,31,779,JFK,2019.1,35.4
9,5,2171,EWR,2191.3,-0.6
6,30,1117,JFK,840.2,13.1
11,20,617,LGA,358.8,4.5
3,25,1760,LGA,328.2,-6.6
1,31,808,JFK,1335.8,24.6
4,9,1979,JFK,2842.9,45.5
12,31,1998,JFK,731.4,39.6
9,30,599,LGA,844.6,-23.7
3,21,760,JFK,392.6,10.4
12,26,1492,EWR,1856.2,11.2
9,20,1828,JFK,2071.6,5.2
7,7,1877,EWR,1964.5,54.6
12,31,785,JFK,2597.3,1.7
4,22,827,JFK,1510.6,13.5
3,4,1626,LGA,489.9,1.2
10,13,562,EWR,939.3,-3.0
5,13,1186,EWR,2021.0,1.1
5,31,1805,EWR,1878.1,23.3
3,10,1964,LGA,1639.9,34.2
12,18,1816,EWR,2080.6,65.2
9,17,1237,LGA,1948.4,17.6
4,20,1530,JFK,2655.8,18.6
11,20,1138,JFK,1799.4,28.7
5,13,1435,EWR,2357.9,-9.0
4,17,1615,JFK,821.3,29.1
5,22,1713,JFK,2066.7,37.7
7,4,2394,EWR,2716.4,29.9
9,1,975,JFK,1218.6,18.6
7,1,2034,EWR,2359.4,-16.0
5,15,1985,EWR,2201.9,17.5
10,13,552,JFK,272.6,-13.8
10,17,1253,JFK,1786.4,-12.2
7,24,985,JFK,477.5,-5.4
10,26,2167,JFK,2905.2,17.0
5,8,2013,JFK,2453.1,49.1
3,18,1887,LGA,418.2,32.1
7,27,1635,JFK,453.1,16.7
11,13,908,LGA,1824.0,-4.1
11,23,1530,EWR,1100.2,13.7
2,14,2265,JFK,201.2,12.9
12,8,1167,JFK,1670.8,36.5
9,8,1720,JFK,1224.8,13.9
10,27,1334,EWR,393.1,-1.0
10,26,1375,LGA,2425.6,36.1
12,15,2258,LGA,2753.7,-22.9
1,27,866,JFK,2294.1,17.2
6,13,1501,JFK,2485.0,59.3
7,7,749,JFK,727.8,17.9
8,5,2118,JFK,864.4,45.3
10,17,1763,EWR,704.7,22.8
9,28,879,JFK,2318.7,-24.9
2,25,1371,EWR,2849.0,-10.1
11,29,1334,JFK,2178.8,6.0
10,16,1994,LGA,2656.3,5.2
2,23,1274,LGA,1952.2,5.5
5,2,1418,JFK,1224.2,29.1
5,22,2224,JFK,1334.7,-11.3
6,18,954,EWR,318.4,13.7
3,31,865,JFK,191.2,36.1
8,17,1813,JFK,2116.9,24.7
1,30,2397,JFK,1371.4,15.0
6,7,902,LGA,1701.4,-9.4
4,13,557,EWR,1717.2,-5.7
1,18,1020,LGA,904.4,-4.9
7,29,1827,EWR,1480.1,46.1
9,14,1638,LGA,1465.2,1.6
4,30,709,JFK,1226.4,-31.9
4,18,1564,LGA,2480.0,20.8
6,13,1315,LGA,1408.4,27.3
12,11,672,EWR,1850.6,-12.8
3,21,733,EWR,2697.0,-11.3
12,30,1292,LGA,2612.1,36.6
6,21,2113,EWR,2682.2,-0.8
7,16,2143,EWR,883.0,18.2
11,23,1292,EWR,201.4,-11.9
10,17,1926,EWR,857.1,61.7
10,8,1562,EWR,908.3,17.4
3,19,618,LGA,2737.1,35.2
7,20,834,EWR,1982.8,26.3
3,15,1859,JFK,336.9,39.3
2,9,2062,LGA,492.6,36.2
12,20,2139,LGA,551.5,8.9
10,10,1597,LGA,1928.2,-12.0
4,12,1714,EWR,2232.7,35.3
12,31,823,JFK,2593.0,-29.3
8,21,1510,EWR,2827.8,47.7
9,23,1670,LGA,684.9,2.2
7,20,2290,LGA,998.3,-11.0
1,30,783,LGA,796.9,-22.9
3,1,712,LGA,1140.4,1.7
12,25,2158,EWR,2752.5,26.9
9,20,2241,JFK,1767.8,12.3
12,9,1428,JFK,2240.8,-39.0
1,22,1251,LGA,1521.3,-8.5
9,15,1917,JFK,183.7,42.8
8,1,838,LGA,286.2,15.0
1,12,2321,LGA,1660.0,22.8
6,3,1545,JFK,2184.5,-5.0
5,11,2294,LGA,724.5,-17.0
6,2,2392,JFK,2193.5,67.6
10,16,604,LGA,2450.9,-25.8
12,9,1989,JFK,1294.5,22.9
5,15,1982,LGA,2264.6,-1.6
6,12,1955,JFK,1271.7,54.6
5,1,1269,LGA,2067.2,32.6
